Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
"C1, C2, C3, C4",4,1µF,CP_Radial_D4.0mm_P2.00mm,,,,tht,
C5,1,100nF,C_Disc_D5.0mm_W2.5mm_P2.50mm,,,,tht,
J1,1,To Saturn Serial,PinHeader_1x04_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"
J2,1,Windows Serial,DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,,,,tht,"9-pin D-SUB connector, socket (female), Mounting Hole"
U1,1,NEC µPD4711B,DIP-20_W7.62mm,,,,tht,
