pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
139.25,-87.13,180.0,top,C1,,,CP_Radial_D4.0mm_P2.00mm,1µF,tht
157.03,-87.13,-90.0,top,C2,,,CP_Radial_D4.0mm_P2.00mm,1µF,tht
137.98,-91.48,-90.0,top,C3,,,CP_Radial_D4.0mm_P2.00mm,1µF,tht
157.03,-92.75,-90.0,top,C4,,,CP_Radial_D4.0mm_P2.00mm,1µF,tht
146.91,-82.05,0.0,top,C5,,,C_Disc_D5.0mm_W2.5mm_P2.50mm,100nF,tht
139.25,-107.45,180.0,top,J1,,,PinHeader_1x04_P2.54mm_Vertical,To Saturn Serial,tht
163.38,-91.75,90.0,top,J2,,,DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,Windows Serial,tht
144.33,-87.13,0.0,top,U1,,,DIP-20_W7.62mm,NEC µPD4711B,tht
